Track Name @0 0ms C0 T0 [ control track ]
Text @0 0ms C0 T0 [ creator:  ]
Text @0 0ms C0 T0 [ GNU LilyPond 2.14.2            ]
Time Signature @0 0ms C0 T0 [ 4/4  metro: 18  32nds: 8 ]
Set Tempo @0 0ms C0 T0 [ mpqn: 750000 tempo: 80 ]
Program Change @0 0ms C0 T1 [ 0x28 ]
Instrument Name @0 0ms C0 T1 [ violin ]
Note On @0 0ms C0 T1 [ A-5(69) 90 ]
Key Signature @0 0ms C0 T1
Program Change @0 0ms C0 T1 [ 0x28 ]
Note On @0 0ms C1 T2 [ C-6(72) 90 ]
Note On @0 0ms C1 T2 [ E-6(76) 90 ]
Note On @0 0ms C1 T2 [ G-6(79) 90 ]
Note On @0 0ms C1 T2 [ A-5(69) 90 ]
Note On @384 750ms C0 T1 [ A-5(69) 0 ]
Note On @384 750ms C0 T1 [ E-6(76) 90 ]
Note On @768 1500ms C0 T1 [ E-6(76) 0 ]
Note On @768 1500ms C0 T1 [ D-6(74) 90 ]
Note On @1152 2250ms C0 T1 [ D-6(74) 0 ]
Note On @1152 2250ms C0 T1 [ C-6(72) 90 ]
Note On @1536 3000ms C0 T1 [ C-6(72) 0 ]
Note On @1536 3000ms C0 T1 [ G-5(67) 90 ]
Note On @1536 3000ms C1 T2 [ C-6(72) 0 ]
Note On @1536 3000ms C1 T2 [ E-6(76) 0 ]
Note On @1536 3000ms C1 T2 [ A-5(69) 0 ]
Note On @1536 3000ms C1 T2 [ G-6(79) 0 ]
Note On @1536 3000ms C1 T2 [ C-5(60) 90 ]
Note On @1536 3000ms C1 T2 [ E-5(64) 90 ]
Note On @1536 3000ms C1 T2 [ G-5(67) 90 ]
Note On @1728 3375ms C0 T1 [ G-5(67) 0 ]
Note On @1728 3375ms C0 T1 [ A-5(69) 90 ]
Note On @1920 3750ms C0 T1 [ A-5(69) 0 ]
Note On @1920 3750ms C0 T1 [ B-5(71) 90 ]
Note On @2208 4312ms C0 T1 [ B-5(71) 0 ]
Note On @2208 4312ms C0 T1 [ C-6(72) 90 ]
Note On @2304 4500ms C0 T1 [ C-6(72) 0 ]
Note On @2304 4500ms C0 T1 [ B-5(71) 90 ]
Note On @2688 5250ms C0 T1 [ B-5(71) 0 ]
Note On @2688 5250ms C0 T1 [ A-5(69) 90 ]
Note On @3072 6000ms C0 T1 [ A-5(69) 0 ]
Note On @3072 6000ms C0 T1 [ F-5(65) 90 ]
Note On @3072 6000ms C1 T2 [ C-5(60) 0 ]
Note On @3072 6000ms C1 T2 [ E-5(64) 0 ]
Note On @3072 6000ms C1 T2 [ G-5(67) 0 ]
Note On @3072 6000ms C1 T2 [ F-5(65) 90 ]
Note On @3072 6000ms C1 T2 [ A-5(69) 90 ]
Note On @3072 6000ms C1 T2 [ C-6(72) 90 ]
Note On @3264 6375ms C0 T1 [ F-5(65) 0 ]
Note On @3264 6375ms C0 T1 [ G-5(67) 90 ]
Note On @3456 6750ms C0 T1 [ G-5(67) 0 ]
Note On @3456 6750ms C0 T1 [ A-5(69) 90 ]
Note On @3648 7125ms C0 T1 [ A-5(69) 0 ]
Note On @3648 7125ms C0 T1 [ F-5(65) 90 ]
Note On @3840 7500ms C0 T1 [ F-5(65) 0 ]
Note On @3840 7500ms C0 T1 [ E-5(64) 90 ]
Note On @4224 8250ms C0 T1 [ E-5(64) 0 ]
